Key,Screen/Context,English,Urdu,Roman Urdu,Notes
serviceGardening,Uncategorised,Gardening,باغبانی,Gardening,
serviceCarWash,Uncategorised,Car Wash,کار واش,Car Wash,
serviceMoversPackers,Uncategorised,Movers & Packers,مووَرز اینڈ پیکرز,Movers & Packers,
clientHomeNoServicesFound,Client,No services found,کوئی سروس نہیں ملی,Koi service nahi mili,
clientHomeSearchResults,Client,Search Results,تلاش کے نتائج,Search ke nataij,
clientHomeBookUrgently,Client,Book Urgently,فوری بک کریں,Foran book karein,
clientHomeChooseServiceHelp,Client,Choose a service to get help right away.,فوری مدد کے لیے کوئی سروس منتخب کریں۔,Foran madad ke liye koi service chunain.,
clientHomeGreeting,Client,Hi {name} 👋,سلام {name} 👋,Hi {name} 👋,Placeholders: {name}
clientHomeBeatTheHeat,Client,Beat the Karachi Heat ☀️,کراچی کی گرمی کا مقابلہ کریں ☀️,Karachi ki garmi ka muqabla karein ☀️,
clientHomeAcServiceBanner,Client,"Get your AC serviced
before it gets worse.","اپنا اے سی سروس کروائیں
اس سے پہلے کہ خرابی بڑھ جائے۔","Apna AC service karwayein
is se pehle ke kharabi barh jaye.",
clientHomeBookAcTechnician,Client,Book AC Technician,اے سی ٹیکنیشن بک کریں,AC Technician book karein,
clientHomeNeedHelpNow,Client,Need help now?,ابھی مدد چاہیے؟,Abhi madad chahiye?,
clientHomeUrgentSubtitle,Client,"For urgent issues, book instantly.",فوری مسائل کے لیے ابھی بک کریں۔,Foran maslon ke liye abhi book karein.,
clientHome247Service,Client,24/7 Service,24/7 سروس,24/7 Service,
clientHomeRecent,Client,Recent,حالیہ,Recent,
clientHomeSeeAll,Client,See all,سب دیکھیں,Sab dekhein,
timeNow,Core / Relative time,Now,ابھی,Abhi,
timeMinutesShort,Core / Relative time,{minutes}m,{minutes} منٹ,{minutes}m,Placeholders: {minutes}
timeHoursShort,Core / Relative time,{hours}h,{hours} گھنٹے,{hours}h,Placeholders: {hours}
clientProfileTitle,Client,Profile,پروفائل,Profile,
clientProfileAvatarLocalOnly,Client,Profile image saved on this device. Cloud sync is not available yet.,پروفائل تصویر اسی ڈیوائس پر محفوظ ہے۔ کلاؤڈ سِنک ابھی دستیاب نہیں۔,Profile picture isi device par save hai. Cloud sync abhi available nahi.,
settingsSectionAccount,Uncategorised,Account,اکاؤنٹ,Account,
settingsSectionLegal,Uncategorised,Legal,قانونی,Legal,
settingsSectionDangerZone,Uncategorised,Danger Zone,خطرناک زون,Danger Zone,
settingsPrivacyPolicy,Uncategorised,Privacy Policy,پرائیویسی پالیسی,Privacy Policy,
settingsTermsConditions,Uncategorised,Terms & Conditions,شرائط و ضوابط,Terms & Conditions,
profilePhotoTitle,Uncategorised,Profile Photo,پروفائل تصویر,Profile Photo,
commonGallery,Shared,Gallery,گیلری,Gallery,
commonRemove,Shared,Remove,ہٹائیں,Hatayein,
deleteAccountConfirmTitle,Uncategorised,Delete account?,اکاؤنٹ ڈیلیٹ کریں؟,Account delete karein?,
deleteAccountConfirmBody,Uncategorised,This will delete your HandyGo account and sign you out. This action may not be reversible.,اس سے آپ کا HandyGo اکاؤنٹ ڈیلیٹ ہو جائے گا اور آپ سائن آؤٹ ہو جائیں گے۔ یہ عمل شاید واپس نہ ہو سکے۔,Is se aap ka HandyGo account delete ho jayega aur aap sign out ho jayenge. Ye kaam shayad wapas na ho sake.,
deleteAccountTitle,Uncategorised,Delete Account,اکاؤنٹ ڈیلیٹ کریں,Account Delete Karein,
deleteAccountRequestByEmail,Uncategorised,Request deletion by email,ای میل کے ذریعے ڈیلیٹ کی درخواست دیں,Email ke zariye deletion ki request dein,
commonLogout,Shared,Logout,لاگ آؤٹ,Logout,
clientJobsTitle,Client,My Jobs,میرے کام,Mere Kaam,
clientJobsEmpty,Client,📋  No jobs yet,📋  ابھی کوئی کام نہیں,📋  Abhi koi kaam nahi,
locationSelected,Uncategorised,Selected location,منتخب کردہ لوکیشن,Muntakhab location,
locationSearchHint,Uncategorised,Search for an area or landmark…,علاقہ یا کوئی نشانی تلاش کریں…,Ilaqa ya koi nishani dhoondein…,
locationGettingAddress,Uncategorised,Getting address…,پتہ حاصل کیا جا رہا ہے…,Pata hasil kiya ja raha hai…,
locationUseThis,Uncategorised,Use This Location,یہی لوکیشن استعمال کریں,Yehi location use karein,
serviceComingSoon,Uncategorised,Coming Soon,جلد آ رہا ہے,Jald aa raha hai,
clientHomeSearchHint,Client,Search services...,سروسز تلاش کریں...,Services dhoondein...,
profileDeleteFailed,Uncategorised,Failed to delete account.,اکاؤنٹ ڈیلیٹ نہیں ہو سکا۔,Account delete nahi ho saka.,
serviceBookNow,Uncategorised,Book Now,ابھی بک کریں,Abhi book karein,
serviceSelectedTick,Uncategorised,Selected ✓,منتخب ✓,Selected ✓,
locationMoveMapHint,Uncategorised,Move the map or tap to pick a location,نقشہ ہلائیں یا لوکیشن چننے کے لیے دبائیں,Map hilayein ya location chunne ke liye dabayein,
slotMorning,Uncategorised,Morning,صبح,Subah,
slotAfternoon,Uncategorised,Afternoon,دوپہر,Dopehar,
slotEvening,Uncategorised,Evening,شام,Shaam,
slotNight,Uncategorised,Night,رات,Raat,
slotMorningRange,Uncategorised,9 AM – 12 PM,صبح 9 – دوپہر 12,9 AM – 12 PM,
slotAfternoonRange,Uncategorised,12 PM – 4 PM,دوپہر 12 – شام 4,12 PM – 4 PM,
slotEveningRange,Uncategorised,4 PM – 8 PM,شام 4 – رات 8,4 PM – 8 PM,
slotNightRange,Uncategorised,8 PM – 11 PM,رات 8 – رات 11,8 PM – 11 PM,
postJobSelectDate,Uncategorised,Select date,تاریخ منتخب کریں,Date chunain,
postJobLocationAdded,Uncategorised,Location added,لوکیشن شامل کر دی گئی,Location shamil kar di gayi,
postJobCurrentLocation,Uncategorised,Current Location,موجودہ لوکیشن,Mojooda Location,
postJobMapLocationAdded,Uncategorised,Map location added,نقشے سے لوکیشن شامل کر دی گئی,Map se location shamil kar di gayi,
postJobPickOnMap,Uncategorised,Pick on Map,نقشے پر منتخب کریں,Map par chunain,
postJobMapPrefix,Uncategorised,Map: {address},نقشہ: {address},Map: {address},Placeholders: {address}
postJobGpsPrefix,Uncategorised,Pinned Location,لوکیشن پن کر دی گئی,Pin Location,
postJobBookService,Uncategorised,Book Service,سروس بک کریں,Service book karein,
postJobSaveChanges,Uncategorised,Save Changes,تبدیلیاں محفوظ کریں,Tabdeeliyan save karein,
postJobBookAService,Uncategorised,Book a Service,سروس بک کریں,Ek service book karein,
postJobEditBooking,Uncategorised,Edit Booking,بکنگ میں تبدیلی,Booking edit karein,
postJobNotAvailable,Uncategorised,Not available,دستیاب نہیں,Available nahi,
bookingLoadFailed,Bookings,Failed to load booking.,بکنگ لوڈ نہیں ہو سکی۔,Booking load nahi ho saki.,
bookingServiceDetails,Bookings,Service Details,سروس کی تفصیلات,Service ki tafseelat,
bookingIssue,Bookings,Issue,مسئلہ,Masla,
bookingUrgency,Bookings,Urgency,فوری ضرورت,Urgency,
bookingTiming,Bookings,Timing,وقت,Timing,
bookingNotScheduledYet,Bookings,Not scheduled yet,ابھی وقت طے نہیں ہوا,Abhi time tay nahi hua,
bookingTimeWindow,Bookings,Time Window,وقت کا دورانیہ,Time Window,
bookingScheduledDate,Bookings,Scheduled Date,طے شدہ تاریخ,Tay shuda date,
bookingCreated,Bookings,Created,بنائی گئی,Banayi gayi,
bookingCancellationReason,Bookings,Cancellation Reason,منسوخی کی وجہ,Cancel karne ki wajah,
bookingInspectionCompletedBy,Bookings,Inspection completed by,معائنہ مکمل کرنے والے,Muaina mukammal karne wale,
bookingWorkBeingCompletedBy,Bookings,Work being completed by,کام مکمل کرنے والے,Kaam mukammal karne wale,
bookingInspectionAndRepairBy,Bookings,Inspection & repair by,معائنہ اور مرمت کرنے والے,Muaina aur marammat karne wale,
bookingAssignedWorker,Bookings,Assigned Worker,مقرر کردہ استاد,Assign kiya gaya Ustaad,
bookingDetailsTitle,Bookings,Booking Details,بکنگ کی تفصیلات,Booking ki tafseelat,
bookingNoAddressProvided,Bookings,No address provided,کوئی پتہ نہیں دیا گیا,Koi pata nahi diya gaya,
bookingAttachments,Bookings,Attachments,ویڈیوز اور تصاویر,Attachments,
bookingPhotosCount,Bookings,Photos ({count}),تصاویر ({count}),Photos ({count}),Placeholders: {count}
bookingVideosCount,Bookings,Videos ({count}),ویڈیوز ({count}),Videos ({count}),Placeholders: {count}
bookingVoiceNote,Bookings,Voice Note,وائس نوٹ,Voice Note,
bookingPricing,Bookings,Pricing,قیمت,Qeemat,
bookingEstimatedPrice,Bookings,Estimated Price,تخمینی قیمت,Andazan qeemat,
bookingInspectionCharges,Bookings,Inspection Charges,معائنہ چارجز,Muaina charges,
bookingWorkCharges,Bookings,Work Charges,کام کے چارجز,Kaam ke charges,
bookingFinalPrice,Bookings,Final Price,حتمی قیمت,Final qeemat,
bookingJobLocation,Bookings,Job location,کام کی جگہ,Kaam ki jagah,
bookingLiveLocation,Bookings,Live Location,لائیو لوکیشن,Live Location,
bookingTrackingWorker,Bookings,Tracking {name},{name} کو ٹریک کیا جا رہا ہے,{name} ko track kiya ja raha hai,Placeholders: {name}
bookingWaitingForWorkerLocation,Bookings,Waiting for worker to share location,استاد کے لوکیشن شیئر کرنے کا انتظار ہے,Ustaad ke location share karne ka intezar hai,
bookingLiveLocationNotAvailable,Bookings,Live location not available yet,لائیو لوکیشن ابھی دستیاب نہیں,Live location abhi available nahi,
bookingLocationPending,Bookings,Location pending,لوکیشن کا انتظار ہے,Location ka intezar hai,
bookingMapPreviewUnavailable,Bookings,Map preview unavailable,نقشہ دکھایا نہیں جا سکا,Map preview available nahi,
bookingMapImageLoadFailed,Bookings,Could not load the map image,نقشے کی تصویر لوڈ نہیں ہو سکی,Map ki image load nahi ho saki,
bookingAppearsWhenEnRoute,Bookings,Will appear once the worker is en route,استاد کے روانہ ہوتے ہی نظر آئے گا,Ustaad ke rawana hote hi nazar aayega,
bookingWorkerNearlyThere,Bookings,Worker is nearly there,استاد تقریباً پہنچ چکے ہیں,Ustaad taqreeban pohanch chuke hain,
bookingWorkerOnTheWay,Bookings,Worker is on the way,استاد راستے میں ہیں,Ustaad raaste mein hain,
bookingLiveUpdatedNow,Bookings,Live · Updated now,لائیو · ابھی اپ ڈیٹ ہوا,Live · Abhi update hua,
bookingStatusTimeline,Bookings / Status labels,Job Status Timeline,کام کی صورتحال کی ٹائم لائن,Kaam ki status timeline,
bookingJobExpired,Bookings,This job expired,یہ کام ختم ہو گیا,Ye kaam khatam ho gaya,
bookingExpiredExplanation,Bookings,No worker was hired within 72 hours. Make it live again to keep looking.,72 گھنٹوں میں کوئی استاد ہائر نہیں ہوا۔ تلاش جاری رکھنے کے لیے اسے دوبارہ لائیو کریں۔,72 ghanton mein koi Ustaad hire nahi hua. Talash jari rakhne ke liye ise dobara live karein.,
bookingMakeLiveFailed,Bookings,Failed to make job live again.,کام دوبارہ لائیو نہیں ہو سکا۔,Kaam dobara live nahi ho saka.,
bookingMakeLiveAgain,Bookings,Make Live Again,دوبارہ لائیو کریں,Dobara live karein,
bookingPreviousUstaadCancelledNamed,Bookings,Previous Ustaad cancelled: {name},پچھلے استاد نے منسوخ کر دیا: {name},Pichle Ustaad ne cancel kar diya: {name},Placeholders: {name}
bookingPreviousUstaadCancelled,Bookings,Previous Ustaad cancelled,پچھلے استاد نے منسوخ کر دیا,Pichle Ustaad ne cancel kar diya,
bookingUstaadCancelledJob,Bookings,The Ustaad cancelled this job,استاد نے یہ کام منسوخ کر دیا,Ustaad ne job cancel kar di,
bookingReasonPrefix,Bookings,Reason: {reason},وجہ: {reason},Wajah: {reason},Placeholders: {reason}
bookingFindAnotherUstaadFailed,Bookings,Failed to find another Ustaad.,دوسرا استاد تلاش نہیں ہو سکا۔,Doosra Ustaad talash nahi ho saka.,
bookingFindAnotherUstaad,Bookings,Find Another Ustaad,دوسرا استاد تلاش کریں,Doosra Ustaad dhoondein,
bookingSelectedServices,Bookings,Selected Services,منتخب سروسز,Muntakhab services,
bookingServiceQuantity,Bookings,{name} x{quantity},{name} x{quantity},{name} x{quantity},"Placeholders: {name}, {quantity}"
bookingChooseUstaad,Bookings,Choose Ustaad,استاد منتخب کریں,Ustaad chunain,
bookingSeeWorkerBids,Bookings,See Worker Offers,استادوں کی آفرز دیکھیں,Ustaad ki offers dekhein,
bookingTrackWorker,Bookings,Track Worker,استاد کو ٹریک کریں,Ustaad ko track karein,
bookingReviewWorker,Bookings,Review Worker,استاد کو ریویو دیں,Ustaad ko review dein,
bookingYourReview,Bookings,Your Review,آپ کا ریویو,Aap ka review,
bookingCallWorker,Bookings,Call Worker,استاد کو کال کریں,Ustaad ko call karein,
bookingCancelBooking,Bookings,Cancel Booking,بکنگ منسوخ کریں,Booking cancel karein,
bookingCancelFailed,Bookings,The booking could not be cancelled.,بکنگ منسوخ نہیں ہو سکی۔,Booking cancel nahi ho saki.,
bookingChatWithWorker,Bookings,Chat with Worker,استاد سے چیٹ کریں,Ustaad se chat karein,
bookingLoadFailedShort,Bookings,Failed to load booking,بکنگ لوڈ نہیں ہو سکی,Booking load nahi ho saki,
workerLevelMaster,Ustaad,Master,ماسٹر,Master,
workerLevelElite,Ustaad,Elite,ایلیٹ,Elite,
workerLevelProUstaad,Ustaad,Pro Ustaad,پرو استاد,Pro Ustaad,
workerLevelPro,Ustaad,Pro,پرو,Pro,
workerLevelStandard,Ustaad,Standard,اسٹینڈرڈ,Standard,
trackLoadFailed,Uncategorised,Failed to load tracking data.,ٹریکنگ ڈیٹا لوڈ نہیں ہو سکا۔,Tracking data load nahi ho saka.,
trackTitleUstaad,Uncategorised,Track Ustaad,استاد کو ٹریک کریں,Ustaad ko track karein,
trackNoLocationForBooking,Uncategorised,Location not available for this booking.,اس بکنگ کے لیے لوکیشن دستیاب نہیں۔,Is booking ke liye location available nahi.,
trackUstaadLocationUnavailable,Uncategorised,The Ustaad's location is not available yet.,استاد کی لوکیشن ابھی دستیاب نہیں ہے۔,Ustaad ki location abhi available nahi hai.,
trackJobCompleted,Uncategorised,Job Completed ✓,کام مکمل ✓,Kaam mukammal ✓,
trackQuoteAcceptedRepairInProgress,Uncategorised,Quote Accepted — Repair In Progress,کوٹ منظور — مرمت جاری ہے,Quote accept — marammat jari hai,
trackReportSubmitted,Uncategorised,Report Submitted,رپورٹ جمع کرا دی گئی,Report jama kara di gayi,
trackInspectionInProgress,Uncategorised,Inspection In Progress,معائنہ جاری ہے,Muaina jari hai,
trackReviewReportAndDecide,Uncategorised,Review the report below and decide how to proceed,نیچے رپورٹ دیکھیں اور فیصلہ کریں کہ آگے کیا کرنا ہے,Neeche report dekhein aur faisla karein ke aage kya karna hai,
trackWorkerLabel,Uncategorised,Worker,استاد,Ustaad,
trackHiredAt,Uncategorised,Hired at {price},{price} پر ہائر کیا گیا,{price} par hire kiya gaya,Placeholders: {price}
trackPhoneUnavailable,Uncategorised,Phone number unavailable,فون نمبر دستیاب نہیں,Phone number available nahi,
trackDialerFailed,Uncategorised,Could not open phone dialer,فون ڈائلر نہیں کھل سکا,Phone dialer nahi khul saka,
trackAssignedWorkerCaps,Uncategorised,ASSIGNED WORKER,مقرر کردہ استاد,ASSIGN KIYA GAYA USTAAD,
trackCall,Uncategorised,Call,کال,Call,
trackLocationUnavailable,Uncategorised,Location unavailable,لوکیشن دستیاب نہیں,Location available nahi,
trackArrivingIn,Uncategorised,"{count, plural, =1{Arriving in ~{count} minute} other{Arriving in ~{count} minutes}}",تقریباً {count} منٹ میں پہنچ رہے ہیں,Taqreeban {count} minute mein pohanch rahe hain,Placeholders: {count} | ICU plural — keep the plural syntax intact
trackEtaUnavailable,Uncategorised,Arrival time unavailable,پہنچنے کا وقت معلوم نہیں,Pohanchne ka waqt maloom nahi,
trackStepHired,Uncategorised,Hired,ہائر ہو گئے,Hire ho gaye,
trackStepUstaadOnTheWay,Uncategorised,Ustaad on the way,استاد راستے میں,Ustaad raaste mein,
trackStepInspectionInProgress,Uncategorised,Inspection in progress,معائنہ جاری,Muaina jari,
trackStepReportSubmitted,Uncategorised,Report submitted,رپورٹ جمع,Report jama,
trackStepClosedAfterInspection,Uncategorised,Closed after inspection,معائنے کے بعد بند,Muainay ke baad band,
trackStepQuoteAccepted,Uncategorised,Quote accepted,کوٹ منظور,Quote accept,
trackStepReviewed,Uncategorised,Reviewed,ریویو ہو گیا,Review ho gaya,
trackStepWorkInProgress,Uncategorised,Work in progress,کام جاری,Kaam jari,
trackStepReviewPending,Uncategorised,Review pending,ریویو باقی,Review baqi,
trackJobProgress,Uncategorised,Job Progress,کام کہاں تک پہنچا,Kaam ki pesh raft,
trackLoadFailedShort,Uncategorised,Failed to load tracking,ٹریکنگ لوڈ نہیں ہو سکی,Tracking load nahi ho saki,
discoveryJobLocation,Uncategorised,Job Location,کام کی جگہ,Kaam ki jagah,
discoveryJobLocationUnavailable,Uncategorised,Job location not available,کام کی جگہ دستیاب نہیں,Kaam ki jagah available nahi,
discoveryLiveWorkerOffers,Uncategorised,Live Worker Offers,استادوں کی لائیو آفرز,Ustaad ki live offers,
discoveryRefresh,Uncategorised,Refresh,ریفریش,Refresh,
discoveryBidsLoadFailed,Uncategorised,Could not load offers.,آفرز لوڈ نہیں ہو سکیں۔,Offers load nahi ho sakin.,
discoveryNoBidsYet,Uncategorised,No offers yet,ابھی کوئی آفر نہیں,Abhi koi offer nahi,
discoveryPendingCount,Uncategorised,"{count, plural, =1{{count} pending} other{{count} pending}}",{count} باقی,{count} pending,Placeholders: {count} | ICU plural — keep the plural syntax intact
discoveryHire,Uncategorised,Hire,ہائر کریں,Hire karein,
discoveryHiring,Uncategorised,Hiring…,ہائر کیا جا رہا ہے…,Hire kiya ja raha hai…,
discoveryHireNamed,Uncategorised,Hire {name}?,{name} کو ہائر کریں؟,{name} ko hire karein?,Placeholders: {name}
discoveryAcceptBid,Uncategorised,Accept {name}'s offer of {price}?,{name} کی {price} کی آفر منظور کریں؟,{name} ki {price} ki offer accept karein?,"Placeholders: {name}, {price}"
discoveryInspectionFeeSeparate,Uncategorised,"The inspection fee is paid separately.
The new Ustaad's offer is charged separately.","معائنہ فیس الگ ادا کی جاتی ہے۔
نئے اُستاد کا آفر الگ چارج ہوگا۔","Muaina fee alag ada ki jati hai.
Naye Ustaad ka offer alag charge hoga.",
discoveryBidLabourOnlyNote,Uncategorised,This offer covers labour only. Parts and materials will be purchased or charged separately with your approval.,یہ آفر صرف مزدوری کے اخراجات کے لیے ہے۔ پرزے اور سامان آپ کی منظوری سے الگ خریدے یا چارج کیے جائیں گے۔,Yeh offer sirf labour charges ke liye hai. Parts aur material aap ki approval se alag khareede ya charge kiye jayenge.,
discoveryBidInspectionBasedNote,Uncategorised,This offer is based on the inspection report and includes labour and the parts or materials required for the reported work.,یہ آفر معائنہ رپورٹ کے مطابق ہے اور اس میں مزدوری اور رپورٹ کیے گئے کام کے لیے درکار پرزے یا سامان شامل ہیں۔,Yeh offer Muaina report ke mutabiq hai aur is mein labour aur report ke kaam ke liye zaroori parts ya material shamil hain.,
discoveryWorkerHired,Uncategorised,Worker hired successfully,استاد کامیابی سے ہائر ہو گئے,Ustaad kamyabi se hire ho gaye,
discoveryHireFailed,Uncategorised,Failed to hire worker.,استاد ہائر نہیں ہو سکے۔,Ustaad hire nahi ho sake.,
discoveryInspectedThisJob,Uncategorised,INSPECTED THIS JOB,اس کام کا معائنہ کیا,IS KAAM KA MUAINA KIYA,
discoveryTheirQuote,Uncategorised,their quote,ان کا کوٹ,un ka quote,
discoveryInspectionCompletedByThis,Uncategorised,Inspection completed by this Ustaad.,معائنہ اسی استاد نے مکمل کیا۔,Muaina isi Ustaad ne mukammal kiya.,
discoveryViewInspectionReport,Uncategorised,View Inspection Report,معائنہ رپورٹ دیکھیں,Muaina Report Dekhein,
discoveryHireAgain,Uncategorised,Hire Again,دوبارہ ہائر کریں,Dobara Hire Karein,
discoveryHireAgainNamed,Uncategorised,Hire {name} again?,{name} کو دوبارہ ہائر کریں؟,{name} ko dobara hire karein?,Placeholders: {name}
discoveryOriginalQuoteContinues,Uncategorised,They'll continue using their original inspection quote.,وہ اپنے اصل معائنہ کوٹ پر ہی کام جاری رکھیں گے۔,Wo apne asal Muaina quote par hi kaam jari rakhenge.,
discoveryWorkersWillAppear,Uncategorised,"Workers who apply will appear here.
Check back shortly.","درخواست دینے والے استاد یہاں نظر آئیں گے۔
تھوڑی دیر بعد دوبارہ دیکھیں۔","Apply karne wale Ustaad yahan nazar aayenge.
Thori dair baad dobara dekhein.",
discoveryTryAgain,Uncategorised,Try again,دوبارہ کوشش کریں,Dobara koshish karein,
postJobInspectionReportSectionTitle,Post Job,Inspection Report (Optional),انسپکشن رپورٹ (اختیاری),Inspection Report (Optional),
postJobAttachInspectionReport,Post Job,Attach previous inspection report,پچھلی انسپکشن رپورٹ منسلک کریں,Pichli inspection report attach karein,
postJobAttachInspectionHint,Post Job,Help bidders understand the job by sharing an earlier diagnosis.,پہلے کی تشخیص شیئر کر کے بولی دینے والوں کو کام سمجھنے میں مدد دیں۔,Pehle ki diagnosis share kar ke bid dene walon ko kaam samajhne mein madad dein.,
postJobChangeInspectionReport,Post Job,Change report,رپورٹ تبدیل کریں,Report tabdeel karein,
postJobSelectInspectionReport,Post Job,Select an inspection report,انسپکشن رپورٹ منتخب کریں,Inspection report muntakhib karein,
postJobNoInspectionReports,Post Job,No previous inspection reports available for this service.,اس سروس کے لیے کوئی پچھلی انسپکشن رپورٹ دستیاب نہیں۔,Is service ke liye koi pichli inspection report dastyab nahi.,
postJobInspectionReportsFailed,Post Job,Could not load your inspection reports.,آپ کی انسپکشن رپورٹس لوڈ نہیں ہو سکیں۔,Aap ki inspection reports load nahi ho sakein.,
postJobInspectionReportCleared,Post Job,Attached inspection report was removed because the service changed.,سروس تبدیل ہونے کی وجہ سے منسلک انسپکشن رپورٹ ہٹا دی گئی۔,Service tabdeel hone ki wajah se attached inspection report hata di gayi.,
inspectionReportTitle,Inspection flow,Inspection Report,معائنہ رپورٹ,Muaina Report,
inspectionReportNotAvailable,Inspection flow,Report not available yet.,رپورٹ ابھی دستیاب نہیں۔,Report abhi available nahi.,
inspectionUstaadVoiceNote,Inspection flow,Ustaad Voice Note,استاد کا وائس نوٹ,Ustaad ka voice note,
inspectionPhotos,Inspection flow,Photos,تصاویر,Photos,
inspectionParts,Inspection flow,Parts,پرزے,Parts,
inspectionRepairQuoteTotal,Inspection flow,Repair quote total,مرمت کے کوٹ کا کل,Marammat ke quote ka total,
inspectionAcceptQuoteContinue,Inspection flow,Accept Quote & Continue Repair,کوٹ منظور کریں اور مرمت جاری رکھیں,Quote accept karein aur marammat jari rakhein,
inspectionFindOtherUstaad,Inspection flow,Find Other Ustaad,دوسرا استاد تلاش کریں,Doosra Ustaad dhoondein,
inspectionCloseAfterInspection,Inspection flow,Close After Inspection,معائنے کے بعد بند کریں,Muainay ke baad band karein,
inspectionAcceptQuoteConfirmTitle,Inspection flow,Accept quote & continue repair?,کوٹ منظور کر کے مرمت جاری رکھیں؟,Quote accept kar ke marammat jari rakhein?,
inspectionCloseConfirmTitle,Inspection flow,Close after inspection?,معائنے کے بعد بند کریں؟,Muainay ke baad band karein?,
inspectionAcceptQuoteConfirmBody,Inspection flow,The same Ustaad will continue the repair. The inspection fee is waived — you will only pay the repair quote.,یہی استاد مرمت جاری رکھیں گے۔ معائنہ فیس معاف ہے — آپ صرف مرمت کا کوٹ ادا کریں گے۔,Yehi Ustaad marammat jari rakhenge. Muaina fee maaf hai — aap sirf marammat ka quote den ge.,
inspectionCloseConfirmBody,Inspection flow,You will only be charged the inspection fee. The job will be marked completed.,آپ سے صرف معائنہ فیس لی جائے گی۔ کام مکمل شدہ نشان زد ہو جائے گا۔,Aap se sirf Muaina fee li jayegi. Kaam mukammal mark ho jayega.,
inspectionClosedAfterInspection,Inspection flow,Closed after inspection.,معائنے کے بعد بند کر دیا گیا۔,Muainay ke baad band kar diya gaya.,
inspectionQuoteAcceptedRepairInProgress,Inspection flow,Quote accepted — repair in progress.,کوٹ منظور — مرمت جاری ہے۔,Quote accept — marammat jari hai.,
inspectionActionFailed,Inspection flow,Action failed. Try again.,کارروائی ناکام۔ دوبارہ کوشش کریں۔,Kaam nahi hua. Dobara koshish karein.,
inspectionFindAnotherConfirmTitle,Inspection flow,Find another Ustaad?,دوسرا استاد تلاش کریں؟,Doosra Ustaad dhoondein?,
inspectionFindAnotherConfirmBody,Inspection flow,Confirming completes the inspection and charges the inspection fee. Your job goes live again so other Ustaads can send their rates.,تصدیق کرنے پر معائنہ مکمل ہو جائے گا اور معائنہ فیس لی جائے گی۔ آپ کا کام دوبارہ لائیو ہو جائے گا تاکہ دوسرے استاد اپنے ریٹ بھیج سکیں۔,Confirm karne par Muaina mukammal ho jayega aur Muaina fee li jayegi. Aap ka kaam dobara live ho jayega taake doosre Ustaad apne rate bhej sakein.,
inspectionBadge,Inspection flow,Inspection,معائنہ,Muaina,
chooseHireConfirmTitle,Uncategorised,Hire this Ustaad?,اس استاد کو ہائر کریں؟,Is Ustaad ko hire karein?,
chooseHireConfirmBody,Uncategorised,Hire {name} for this job? You won't be able to choose a different Ustaad afterwards.,کیا {name} کو یہ کام دیں؟ اس کے بعد آپ دوسرا استاد منتخب نہیں کر سکیں گے۔,{name} ko ye kaam dein? Is ke baad aap doosra Ustaad nahi chun sakenge.,Placeholders: {name}
chooseAssignFailed,Uncategorised,Unable to assign this Ustaad. Please try again.,یہ استاد مقرر نہیں ہو سکے۔ دوبارہ کوشش کریں۔,Ye Ustaad assign nahi ho sake. Dobara koshish karein.,
chooseServiceTotal,Uncategorised,Service Total {price},سروس کا کل {price},Service Total {price},Placeholders: {price}
chooseInspectionFeeAmount,Uncategorised,Inspection fee {price},معائنہ فیس {price},Muaina fee {price},Placeholders: {price}
chooseFindingUstaads,Uncategorised,Finding verified Ustaads near you…,آپ کے قریب تصدیق شدہ استاد تلاش کیے جا رہے ہیں…,Aap ke qareeb verified Ustaad dhoonde ja rahe hain…,
chooseLoadFailed,Uncategorised,Unable to load available Ustaads right now.,اس وقت دستیاب استاد لوڈ نہیں ہو سکے۔,Is waqt available Ustaad load nahi ho sake.,
chooseNoUstaadAvailable,Uncategorised,No verified Ustaad available right now.,اس وقت کوئی تصدیق شدہ استاد دستیاب نہیں۔,Is waqt koi verified Ustaad available nahi.,
chooseAutoRefreshNote,Uncategorised,The list refreshes automatically every 45 seconds.,فہرست ہر 45 سیکنڈ بعد خود بخود ریفریش ہوتی ہے۔,List har 45 seconds mein khud-ba-khud refresh hoti hai.,
chooseRefreshOrWait,Uncategorised,You can refresh or wait a little — checking available Ustaads…,آپ ریفریش کر سکتے ہیں یا تھوڑا انتظار کریں — دستیاب استاد دیکھے جا رہے ہیں…,Aap refresh kar sakte hain ya thora intezar karein — available Ustaad check ho rahe hain…,
chooseNewBadge,Uncategorised,New,نیا,Naya,
chooseSelect,Uncategorised,Select,منتخب کریں,Chunain,
chooseRecommended,Uncategorised,Recommended,تجویز کردہ,Recommended,
chooseSkills,Uncategorised,Skills,مہارتیں,Skills,
myBookingsLoadFailed,Uncategorised,Unable to load your bookings. Please try again.,آپ کی بکنگز لوڈ نہیں ہو سکیں۔ دوبارہ کوشش کریں۔,Aap ki bookings load nahi ho sakin. Dobara koshish karein.,
myBookingsTitle,Uncategorised,My Bookings,میری بکنگز,Meri Bookings,
myBookingsEmptyTitle,Uncategorised,No bookings yet,ابھی کوئی بکنگ نہیں,Abhi koi booking nahi,
myBookingsNoResults,Uncategorised,No results found,کوئی نتیجہ نہیں ملا,Koi nateeja nahi mila,
